DEALERSHIP NAME,S,W,Status,ADDRESS,CITY,ZIP CODE,DEALER #,DATE ADDED,COMMENTS
US Motorsports INC,X,,S,15859 Edna Place Suite 101,Irwindale,91706,98560,12/20/19,No loans - dealership closed.
V&A Auto Sales,X,,S,6805 Luther Dr. Suite E,Sacramento,95823,,,
Vacaville Ford Mercury Inc,X,,S,148 Peabody Road,Vacaville,95687,17045,,Title perfecting and paying off issue
Victory Autos,,X,W,"791 E Arrow Highway 
(626) 969-6169",Azusa,91702,80850,7/7/15,Dealer is not completing DMV paperwork in a timely manner; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Victory Car Sales,X,,S,317 W Main Street,Woodland,95695,69448,6/15/17,No loans - dealership closed.
W&G Auto,X,,S,Fulton Avenue,Sacramento,,,,DEALER HAS NO LICENSE
Walter's Audi,,X,W,3210 Adams Street,Riverside,92504,,4/1/10,Through verification of CDL required
Weaver Auto/Truck Center,X,,S,400 Idaho Maryland Road,Grass Valley,95945,00994,,GOING out of business
Wells Auto Sales and Service,X,,S,"4060 Stage Ct., Suite 63",Placerville,95667,47218,1/26/17,Dealership closed.
Wells Auto Sales INC,X,,S,179 Placerville Drive,Placerville,95667,47218,1/26/17,Dealership closed.
West Covina Nissan,,X,W,205 N Citrus Street,West Covina,91791,,10/21/16,"Thorough verification of all application data required (including vehicle options, back end product); Lending Sup or Mgr review required"
Wholesale Investments Inc.,X,,S,16161 Raymer Street,Van Nuys,91406,54401,4/11/16,
YC Auto Group,X,,S,2695 E Leland Road,Pittsburg,94565,97405,8/5/19,Dealer attempted to impersonate a member. 925-267-9346
Z Auto Sales,,X,W,2524 Arden Way,Sacramento,95825,42280,,DMV paperwork must be completed at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. Call Vehicle Services.
